Postcode,average_energy_efficiency_rating
AB1 8FH,88.6875
AB1 8GX,88.61764705882354
AB1 8HF,88.9090909090909
AB1 8HU,88.16666666666667
AB10 1AU,65.26666666666667
AB10 1BA,61.611111111111114
AB10 1BB,77.0
AB10 1BQ,79.6896551724138
AB10 1BT,82.4
AB10 1BX,81.82142857142857
AB10 1BY,81.85454545454546
AB10 1BZ,80.39285714285714
AB10 1DA,80.93548387096774
AB10 1FF,74.0
AB10 1FG,75.1875
AB10 1FL,69.8
AB10 1HF,50.916666666666664
AB10 1HP,67.33333333333333
AB10 1JE,67.33333333333333
AB10 1JJ,54.22222222222222
AB10 1JQ,67.9
AB10 1JS,50.0
AB10 1JT,56.75
AB10 1JX,39.0
AB10 1NJ,77.3
AB10 1NL,62.5
AB10 1NN,59.142857142857146
AB10 1NP,56.0
AB10 1PE,65.125
AB10 1PF,60.0
AB10 1PN,63.0
AB10 1PR,77.7
AB10 1QD,58.6
AB10 1QE,56.611111111111114
AB10 1QH,69.61904761904762
AB10 1QJ,63.0
AB10 1QL,59.857142857142854
AB10 1QN,60.6
AB10 1QQ,65.25
AB10 1QS,67.16666666666667
AB10 1QT,58.0
AB10 1QU,73.0
AB10 1QX,75.66666666666667
AB10 1QZ,55.0
AB10 1RA,61.2
AB10 1RB,73.75
AB10 1RD,75.25
AB10 1RH,75.83333333333333
AB10 1RJ,57.0
AB10 1RL,78.57142857142857
AB10 1RN,52.0
AB10 1RP,64.46666666666667
AB10 1RQ,57.333333333333336
AB10 1RR,62.888888888888886
AB10 1RT,61.111111111111114
AB10 1RX,66.22727272727273
AB10 1RY,67.70833333333333
AB10 1SB,72.53846153846153
AB10 1SD,67.33333333333333
AB10 1SE,55.15384615384615
AB10 1SH,66.0
AB10 1SJ,39.5
AB10 1SL,60.5
AB10 1SN,62.628571428571426
AB10 1SP,66.81818181818181
AB10 1SQ,40.333333333333336
AB10 1SR,69.0
AB10 1SS,71.92
AB10 1ST,58.12903225806452
AB10 1SU,62.5
AB10 1SY,72.14285714285714
AB10 1TA,61.333333333333336
AB10 1TB,58.869565217391305
AB10 1TD,30.666666666666668
AB10 1TE,68.84615384615384
AB10 1TF,71.0
AB10 1TH,69.42857142857143
AB10 1TJ,64.83333333333333
AB10 1TL,55.42857142857143
AB10 1TP,76.57142857142857
AB10 1TQ,48.0
AB10 1TR,62.5
AB10 1TS,67.96296296296296
AB10 1TT,58.166666666666664
AB10 1TX,41.625
AB10 1TY,66.25
AB10 1TZ,71.6875
AB10 1UA,58.6
AB10 1UB,55.91304347826087
AB10 1UD,68.3
AB10 1UE,62.25
